time,open,max,min,close,result
2023-05-03 02:43:00.000000,1.102245,1.10228,1.10218,1.102255,loss
2023-05-03 02:44:00.000000,1.10227,1.102285,1.102255,1.102265,loss
2023-05-03 02:45:00.000000,1.102265,1.102285,1.10217,1.102215,loss
2023-05-03 02:46:00.000000,1.10221,1.10229,1.102205,1.10227,loss
2023-05-03 02:47:00.000000,1.10229,1.1023,1.10217,1.102235,loss
2023-05-03 02:48:00.001523,1.10226,1.10228,1.1022,1.1022,loss
2023-05-03 02:49:00.000000,1.102205,1.10222,1.102025,1.10209,loss
2023-05-03 02:50:00.000000,1.102085,1.1021,1.101925,1.10195,loss
2023-05-03 02:51:00.000000,1.101965,1.101985,1.101905,1.101985,loss
2023-05-03 02:52:00.000000,1.10198,1.102045,1.10196,1.101965,loss
2023-05-03 02:53:00.000000,1.10197,1.10197,1.101825,1.10187,loss
2023-05-03 02:54:00.000000,1.101885,1.10193,1.101855,1.101925,loss
2023-05-03 02:55:00.000000,1.101905,1.10193,1.101855,1.101905,loss
2023-05-03 02:56:00.000000,1.1019,1.10194,1.10184,1.101865,loss
2023-05-03 02:57:00.000000,1.101865,1.101965,1.10186,1.101955,loss
2023-05-03 02:58:00.000000,1.101955,1.102,1.10185,1.101885,loss
2023-05-03 02:59:00.000000,1.101885,1.101905,1.10185,1.101875,loss
2023-05-03 02:59:59.000000,1.101875,1.102005,1.10187,1.102005,loss
2023-05-03 02:48:00.001523,1.10226,1.10228,1.1022,1.1022,loss
2023-05-03 02:49:00.000000,1.102205,1.10222,1.102025,1.10209,loss
2023-05-03 02:50:00.000000,1.102085,1.1021,1.101925,1.10195,loss
2023-05-03 02:51:00.000000,1.101965,1.101985,1.101905,1.101985,loss
2023-05-03 02:52:00.000000,1.10198,1.102045,1.10196,1.101965,loss
2023-05-03 02:53:00.000000,1.10197,1.10197,1.101825,1.10187,loss
2023-05-03 02:54:00.000000,1.101885,1.10193,1.101855,1.101925,loss
2023-05-03 02:55:00.000000,1.101905,1.10193,1.101855,1.101905,loss
2023-05-03 02:56:00.000000,1.1019,1.10194,1.10184,1.101865,loss
2023-05-03 02:57:00.000000,1.101865,1.101965,1.10186,1.101955,loss
2023-05-03 02:58:00.000000,1.101955,1.102,1.10185,1.101885,loss
2023-05-03 02:59:00.000000,1.101885,1.101905,1.10185,1.101875,loss
2023-05-03 03:00:00.000000,1.101875,1.102005,1.10187,1.102,loss
2023-05-03 03:01:00.000000,1.102,1.102095,1.101945,1.101965,loss
2023-05-03 03:02:00.000000,1.101975,1.10219,1.101955,1.102185,loss
2023-05-03 03:03:00.000000,1.102185,1.102385,1.102015,1.10202,loss
2023-05-03 03:04:00.000000,1.102015,1.102015,1.10181,1.101865,loss
2023-05-03 03:04:59.000000,1.10187,1.10207,1.10187,1.10207,loss
2023-05-03 03:28:00,1.101625,1.101645,1.101435,1.10151,loss
2023-05-03 03:29:00,1.101515,1.101685,1.101485,1.10167,loss
2023-05-03 03:30:00,1.101665,1.10194,1.101645,1.10194,loss
2023-05-03 03:31:00,1.10194,1.101985,1.101775,1.101975,loss
2023-05-03 03:32:00,1.101965,1.102275,1.101965,1.102265,loss
2023-05-03 03:33:00,1.10226,1.10232,1.102165,1.102305,loss
2023-05-03 03:34:00,1.1023,1.102625,1.102295,1.10248,loss
2023-05-03 03:35:00,1.102485,1.10258,1.10241,1.10243,loss
2023-05-03 03:36:00,1.102405,1.102445,1.102155,1.10221,loss
2023-05-03 03:37:00,1.102205,1.102365,1.102205,1.10231,loss
2023-05-03 03:38:00,1.10231,1.10247,1.10225,1.102345,loss
2023-05-03 03:39:00,1.10236,1.10243,1.10233,1.102365,loss
2023-05-03 03:40:00,1.102365,1.102385,1.102185,1.10227,loss
2023-05-03 03:41:00,1.102275,1.10259,1.10226,1.10257,loss
2023-05-03 03:42:00,1.102565,1.102965,1.102565,1.102875,loss
2023-05-03 03:43:00,1.102875,1.102875,1.10271,1.102765,loss
2023-05-03 03:44:00,1.102755,1.10279,1.102615,1.10277,loss
2023-05-03 03:45:00,1.10274,1.10285,1.10264,1.102765,loss
2023-05-03 03:45:59,1.10274,1.10281,1.102535,1.102585,loss
2023-05-03 03:46:00,1.10274,1.10281,1.102535,1.102615,loss
2023-05-03 03:34:00.000000,1.1023,1.102625,1.102295,1.10248,loss
2023-05-03 03:35:00.000000,1.102485,1.10258,1.10241,1.10243,loss
2023-05-03 03:36:00.000000,1.102405,1.102445,1.102155,1.10221,loss
2023-05-03 03:37:00.000000,1.102205,1.102365,1.102205,1.10231,loss
2023-05-03 03:38:00.000000,1.10231,1.10247,1.10225,1.102345,loss
2023-05-03 03:39:00.000000,1.10236,1.10243,1.10233,1.102365,loss
2023-05-03 03:40:00.000000,1.102365,1.102385,1.102185,1.10227,loss
2023-05-03 03:41:00.000000,1.102275,1.10259,1.10226,1.10257,loss
2023-05-03 03:42:00.000000,1.102565,1.102965,1.102565,1.102875,loss
2023-05-03 03:43:00.000000,1.102875,1.102875,1.10271,1.102765,loss
2023-05-03 03:44:00.000000,1.102755,1.10279,1.102615,1.10277,loss
2023-05-03 03:45:00.000000,1.10274,1.10285,1.10264,1.102765,loss
2023-05-03 03:46:00.000000,1.10274,1.10281,1.102535,1.102615,loss
2023-05-03 03:47:00.000000,1.10261,1.102825,1.1026,1.10282,loss
2023-05-03 03:48:00.000588,1.102835,1.10285,1.10276,1.102835,loss
2023-05-03 03:49:00.000000,1.102835,1.102885,1.102785,1.102815,loss
2023-05-03 03:50:00.000000,1.10281,1.102875,1.102725,1.10287,loss
2023-05-03 03:51:00.000000,1.10287,1.102885,1.10276,1.10288,loss
2023-05-03 03:52:00.000000,1.102875,1.10311,1.102865,1.102885,loss
2023-05-03 03:52:00.000000,1.102875,1.10311,1.102865,1.102885,loss
2023-05-03 03:35:00.000000,1.102485,1.10258,1.10241,1.10243,loss
2023-05-03 03:36:00.000000,1.102405,1.102445,1.102155,1.10221,loss
2023-05-03 03:37:00.000000,1.102205,1.102365,1.102205,1.10231,loss
2023-05-03 03:38:00.000000,1.10231,1.10247,1.10225,1.102345,loss
2023-05-03 03:39:00.000000,1.10236,1.10243,1.10233,1.102365,loss
2023-05-03 03:40:00.000000,1.102365,1.102385,1.102185,1.10227,loss
2023-05-03 03:41:00.000000,1.102275,1.10259,1.10226,1.10257,loss
2023-05-03 03:42:00.000000,1.102565,1.102965,1.102565,1.102875,loss
2023-05-03 03:43:00.000000,1.102875,1.102875,1.10271,1.102765,loss
2023-05-03 03:44:00.000000,1.102755,1.10279,1.102615,1.10277,loss
2023-05-03 03:45:00.000000,1.10274,1.10285,1.10264,1.102765,loss
2023-05-03 03:46:00.000000,1.10274,1.10281,1.102535,1.102615,loss
2023-05-03 03:47:00.000000,1.10261,1.102825,1.1026,1.10282,loss
2023-05-03 03:48:00.000588,1.102835,1.10285,1.10276,1.102835,loss
2023-05-03 03:49:00.000000,1.102835,1.102885,1.102785,1.102815,loss
2023-05-03 03:50:00.000000,1.10281,1.102875,1.102725,1.10287,loss
2023-05-03 03:51:00.000000,1.10287,1.102885,1.10276,1.10288,loss
2023-05-03 03:52:00.000000,1.102875,1.10311,1.102865,1.102885,loss
2023-05-03 03:52:59.000000,1.102885,1.102965,1.102835,1.10288,loss
2023-05-03 03:52:59.000000,1.102885,1.102965,1.102835,1.10288,loss
2023-05-03 03:45:00.000000,1.10274,1.10285,1.10264,1.102765,loss
2023-05-03 03:46:00.000000,1.10274,1.10281,1.102535,1.102615,loss
2023-05-03 03:47:00.000000,1.10261,1.102825,1.1026,1.10282,loss
2023-05-03 03:48:00.000588,1.102835,1.10285,1.10276,1.102835,loss
2023-05-03 03:49:00.000000,1.102835,1.102885,1.102785,1.102815,loss
2023-05-03 03:50:00.000000,1.10281,1.102875,1.102725,1.10287,loss
2023-05-03 03:51:00.000000,1.10287,1.102885,1.10276,1.10288,loss
2023-05-03 03:52:00.000000,1.102875,1.10311,1.102865,1.102885,loss
2023-05-03 03:53:00.000000,1.102885,1.102965,1.102835,1.10288,loss
2023-05-03 03:54:00.000000,1.10287,1.10287,1.10266,1.102725,loss
2023-05-03 03:55:00.000000,1.10273,1.10283,1.102725,1.10281,loss
2023-05-03 03:56:00.000000,1.10281,1.102835,1.10263,1.10274,loss
2023-05-03 03:57:00.000000,1.10274,1.102865,1.10269,1.102825,loss
2023-05-03 03:58:00.000000,1.10282,1.10295,1.1028,1.10295,loss
2023-05-03 03:59:00.000000,1.102925,1.102985,1.102865,1.102985,loss
2023-05-03 04:00:00.000000,1.10298,1.103205,1.10297,1.103075,loss
2023-05-03 04:01:00.000000,1.10308,1.103365,1.10293,1.10328,loss
2023-05-03 04:02:00.000000,1.10328,1.10346,1.10324,1.10333,loss
2023-05-03 04:03:00.000000,1.10332,1.10335,1.102695,1.102695,loss
2023-05-03 04:03:00.000000,1.10332,1.10335,1.102695,1.102695,loss
2023-05-03 03:53:00.000000,1.102885,1.102965,1.102835,1.10288,loss
2023-05-03 03:54:00.000000,1.10287,1.10287,1.10266,1.102725,loss
2023-05-03 03:55:00.000000,1.10273,1.10283,1.102725,1.10281,loss
2023-05-03 03:56:00.000000,1.10281,1.102835,1.10263,1.10274,loss
2023-05-03 03:57:00.000000,1.10274,1.102865,1.10269,1.102825,loss
2023-05-03 03:58:00.000000,1.10282,1.10295,1.1028,1.10295,loss
2023-05-03 03:59:00.000000,1.102925,1.102985,1.102865,1.102985,loss
2023-05-03 04:00:00.000000,1.10298,1.103205,1.10297,1.103075,loss
2023-05-03 04:01:00.000000,1.10308,1.103365,1.10293,1.10328,loss
2023-05-03 04:02:00.000000,1.10328,1.10346,1.10324,1.10333,loss
2023-05-03 04:03:00.000000,1.10332,1.10335,1.102695,1.102695,loss
2023-05-03 04:04:00.000000,1.10271,1.10301,1.102675,1.102965,loss
2023-05-03 04:05:00.000000,1.102965,1.103075,1.102955,1.10303,loss
2023-05-03 04:06:00.000000,1.10303,1.10304,1.10291,1.10296,loss
2023-05-03 04:07:00.000000,1.102955,1.10306,1.10287,1.10305,loss
2023-05-03 04:08:00.000000,1.10306,1.10306,1.102845,1.10302,loss
2023-05-03 04:09:00.000000,1.10302,1.103025,1.1026,1.1028,loss
2023-05-03 04:10:00.000000,1.102805,1.10295,1.102685,1.102695,loss
2023-05-03 04:10:59.001947,1.10268,1.10278,1.102595,1.10272,loss
2023-05-03 04:10:59.001947,1.10268,1.10278,1.102595,1.10272,loss
2023-05-03 03:57:00.000000,1.10274,1.102865,1.10269,1.102825,loss
2023-05-03 03:58:00.000000,1.10282,1.10295,1.1028,1.10295,loss
2023-05-03 03:59:00.000000,1.102925,1.102985,1.102865,1.102985,loss
2023-05-03 04:00:00.000000,1.10298,1.103205,1.10297,1.103075,loss
2023-05-03 04:01:00.000000,1.10308,1.103365,1.10293,1.10328,loss
2023-05-03 04:02:00.000000,1.10328,1.10346,1.10324,1.10333,loss
2023-05-03 04:03:00.000000,1.10332,1.10335,1.102695,1.102695,loss
2023-05-03 04:04:00.000000,1.10271,1.10301,1.102675,1.102965,loss
2023-05-03 04:05:00.000000,1.102965,1.103075,1.102955,1.10303,loss
2023-05-03 04:06:00.000000,1.10303,1.10304,1.10291,1.10296,loss
2023-05-03 04:07:00.000000,1.102955,1.10306,1.10287,1.10305,loss
2023-05-03 04:08:00.000000,1.10306,1.10306,1.102845,1.10302,loss
2023-05-03 04:09:00.000000,1.10302,1.103025,1.1026,1.1028,loss
2023-05-03 04:10:00.000000,1.102805,1.10295,1.102685,1.102695,loss
2023-05-03 04:11:00.000000,1.10268,1.10278,1.102595,1.10273,loss
2023-05-03 04:12:00.002760,1.10274,1.102905,1.102735,1.102855,loss
2023-05-03 04:13:00.000000,1.10286,1.103075,1.10286,1.103065,loss
2023-05-03 04:14:00.000000,1.103075,1.10333,1.10306,1.10332,loss
2023-05-03 04:14:59.000000,1.10332,1.10338,1.103255,1.10327,loss
2023-05-03 04:15:00.000000,1.10332,1.10338,1.103245,1.103245,loss
2023-05-03 04:33:00,1.10361,1.10361,1.10341,1.10351,loss
2023-05-03 04:34:00,1.103515,1.103675,1.10344,1.103675,loss
2023-05-03 04:35:00,1.10368,1.103975,1.10366,1.103975,loss
2023-05-03 04:36:00,1.10397,1.10414,1.10377,1.1038,loss
2023-05-03 04:37:00,1.103795,1.10381,1.103455,1.103485,loss
2023-05-03 04:38:00,1.10348,1.103655,1.10346,1.1035,loss
2023-05-03 04:39:00,1.10351,1.103525,1.103425,1.103445,loss
2023-05-03 04:40:00,1.10345,1.103495,1.103395,1.10349,loss
2023-05-03 04:41:00,1.103485,1.10356,1.103405,1.103405,loss
2023-05-03 04:42:00,1.103405,1.10342,1.103285,1.1033,loss
2023-05-03 04:43:00,1.103305,1.10336,1.10327,1.103325,loss
2023-05-03 04:44:00,1.10332,1.10351,1.103265,1.10341,loss
2023-05-03 04:45:00,1.10341,1.103475,1.103305,1.103345,loss
2023-05-03 04:46:00,1.10336,1.103535,1.103315,1.10346,loss
2023-05-03 04:47:00,1.103455,1.10348,1.10341,1.103465,loss
2023-05-03 04:48:00,1.10345,1.10346,1.10336,1.10339,loss
2023-05-03 04:49:00,1.103385,1.10341,1.103335,1.10337,loss
2023-05-03 04:50:00,1.103355,1.10337,1.103265,1.10329,loss
2023-05-03 04:50:59,1.10329,1.10351,1.10327,1.10344,loss
2023-05-03 04:50:59,1.10329,1.10351,1.10327,1.10344,loss
2023-05-03 05:00:00.000000,1.10331,1.103535,1.103305,1.10345,loss
2023-05-03 05:01:00.000000,1.103455,1.103565,1.103445,1.103485,loss
2023-05-03 05:02:00.000000,1.103485,1.10365,1.10347,1.10364,loss
2023-05-03 05:03:00.000000,1.10363,1.103825,1.103625,1.10376,loss
2023-05-03 05:04:00.000000,1.103755,1.103785,1.10355,1.103685,loss
2023-05-03 05:05:00.000000,1.10368,1.103965,1.10368,1.10393,loss
2023-05-03 05:06:00.002692,1.10394,1.103965,1.103865,1.10395,loss
2023-05-03 05:07:00.000000,1.103945,1.10398,1.10387,1.10397,loss
2023-05-03 05:08:00.000000,1.103965,1.10441,1.10395,1.104165,loss
2023-05-03 05:09:00.000000,1.104185,1.104475,1.104165,1.10422,loss
2023-05-03 05:10:00.004994,1.10422,1.10437,1.10415,1.10423,loss
2023-05-03 05:11:00.000000,1.104225,1.104375,1.104215,1.10433,loss
2023-05-03 05:12:00.000000,1.10433,1.104365,1.104255,1.104295,loss
2023-05-03 05:13:00.000000,1.104295,1.10445,1.104275,1.10431,loss
2023-05-03 05:14:00.000000,1.10431,1.10431,1.103885,1.1039,loss
2023-05-03 05:15:00.000000,1.1039,1.1039,1.10364,1.10367,loss
2023-05-03 05:16:00.000000,1.10366,1.103855,1.10365,1.1037,loss
2023-05-03 05:17:00.001525,1.1037,1.10402,1.10368,1.10398,loss
2023-05-03 05:18:00.000000,1.10398,1.103995,1.10372,1.10373,loss
2023-05-03 05:18:00.000000,1.10398,1.103995,1.10372,1.10373,loss
2023-05-03 05:04:00.000000,1.103755,1.103785,1.10355,1.103685,loss
2023-05-03 05:05:00.000000,1.10368,1.103965,1.10368,1.10393,loss
2023-05-03 05:06:00.002692,1.10394,1.103965,1.103865,1.10395,loss
2023-05-03 05:07:00.000000,1.103945,1.10398,1.10387,1.10397,loss
2023-05-03 05:08:00.000000,1.103965,1.10441,1.10395,1.104165,loss
2023-05-03 05:09:00.000000,1.104185,1.104475,1.104165,1.10422,loss
2023-05-03 05:10:00.004994,1.10422,1.10437,1.10415,1.10423,loss
2023-05-03 05:11:00.000000,1.104225,1.104375,1.104215,1.10433,loss
2023-05-03 05:12:00.000000,1.10433,1.104365,1.104255,1.104295,loss
2023-05-03 05:13:00.000000,1.104295,1.10445,1.104275,1.10431,loss
2023-05-03 05:14:00.000000,1.10431,1.10431,1.103885,1.1039,loss
2023-05-03 05:15:00.000000,1.1039,1.1039,1.10364,1.10367,loss
2023-05-03 05:16:00.000000,1.10366,1.103855,1.10365,1.1037,loss
2023-05-03 05:17:00.001525,1.1037,1.10402,1.10368,1.10398,loss
2023-05-03 05:18:00.000000,1.10398,1.103995,1.10372,1.10373,loss
2023-05-03 05:19:00.000000,1.103715,1.10389,1.103675,1.10384,loss
2023-05-03 05:20:00.000000,1.103835,1.104075,1.103785,1.103965,loss
2023-05-03 05:21:00.000000,1.10395,1.10405,1.103895,1.104035,loss
2023-05-03 05:21:59.000000,1.10403,1.10403,1.10386,1.10389,loss
2023-05-03 05:21:59.000000,1.10403,1.10403,1.10386,1.10389,loss
2023-05-03 05:07:00.000000,1.103945,1.10398,1.10387,1.10397,loss
2023-05-03 05:08:00.000000,1.103965,1.10441,1.10395,1.104165,loss
2023-05-03 05:09:00.000000,1.104185,1.104475,1.104165,1.10422,loss
2023-05-03 05:10:00.004994,1.10422,1.10437,1.10415,1.10423,loss
2023-05-03 05:11:00.000000,1.104225,1.104375,1.104215,1.10433,loss
2023-05-03 05:12:00.000000,1.10433,1.104365,1.104255,1.104295,loss
2023-05-03 05:13:00.000000,1.104295,1.10445,1.104275,1.10431,loss
2023-05-03 05:14:00.000000,1.10431,1.10431,1.103885,1.1039,loss
2023-05-03 05:15:00.000000,1.1039,1.1039,1.10364,1.10367,loss
2023-05-03 05:16:00.000000,1.10366,1.103855,1.10365,1.1037,loss
2023-05-03 05:17:00.001525,1.1037,1.10402,1.10368,1.10398,loss
2023-05-03 05:18:00.000000,1.10398,1.103995,1.10372,1.10373,loss
2023-05-03 05:19:00.000000,1.103715,1.10389,1.103675,1.10384,loss
2023-05-03 05:20:00.000000,1.103835,1.104075,1.103785,1.103965,loss
2023-05-03 05:21:00.000000,1.10395,1.10405,1.103895,1.104035,loss
2023-05-03 05:22:00.003101,1.10403,1.10403,1.10386,1.103905,loss
2023-05-03 05:23:00.000000,1.1039,1.10398,1.10383,1.10388,loss
2023-05-03 05:24:00.000000,1.10388,1.10392,1.103825,1.103825,loss
2023-05-03 05:25:00.000000,1.10382,1.103945,1.103755,1.103875,loss
2023-05-03 05:25:00.000000,1.10382,1.103945,1.103755,1.103875,loss
2023-05-03 05:15:00.000000,1.1039,1.1039,1.10364,1.10367,loss
2023-05-03 05:16:00.000000,1.10366,1.103855,1.10365,1.1037,loss
2023-05-03 05:17:00.001525,1.1037,1.10402,1.10368,1.10398,loss
2023-05-03 05:18:00.000000,1.10398,1.103995,1.10372,1.10373,loss
2023-05-03 05:19:00.000000,1.103715,1.10389,1.103675,1.10384,loss
2023-05-03 05:20:00.000000,1.103835,1.104075,1.103785,1.103965,loss
2023-05-03 05:21:00.000000,1.10395,1.10405,1.103895,1.104035,loss
2023-05-03 05:22:00.003101,1.10403,1.10403,1.10386,1.103905,loss
2023-05-03 05:23:00.000000,1.1039,1.10398,1.10383,1.10388,loss
2023-05-03 05:24:00.000000,1.10388,1.10392,1.103825,1.103825,loss
2023-05-03 05:25:00.000000,1.10382,1.103945,1.103755,1.103875,loss
2023-05-03 05:26:00.000000,1.103875,1.103885,1.103745,1.103745,loss
2023-05-03 05:27:00.000000,1.103725,1.103725,1.103555,1.10372,loss
2023-05-03 05:28:00.000000,1.103725,1.103765,1.103665,1.103765,loss
2023-05-03 05:29:00.000000,1.103765,1.103875,1.10371,1.103805,loss
2023-05-03 05:30:00.000000,1.10381,1.10383,1.103755,1.103775,loss
2023-05-03 05:31:00.000000,1.103775,1.10379,1.103575,1.103635,loss
2023-05-03 05:32:00.000000,1.103635,1.103635,1.103555,1.10361,loss
2023-05-03 05:32:59.000000,1.103615,1.103765,1.103565,1.103715,loss
2023-05-03 05:32:59.000000,1.103615,1.103765,1.103565,1.103715,loss
2023-05-03 05:25:00,1.10382,1.103945,1.103755,1.103875,loss
2023-05-03 05:26:00,1.103875,1.103885,1.103745,1.103745,loss
2023-05-03 05:27:00,1.103725,1.103725,1.103555,1.10372,loss
2023-05-03 05:28:00,1.103725,1.103765,1.103665,1.103765,loss
2023-05-03 05:29:00,1.103765,1.103875,1.10371,1.103805,loss
